emotion_name,type,definition
adomania,n,"the sense that the future is arriving ahead of schedule, that all those years with fantastical names like '2013' are bursting from their hypothetical cages into the arena of the present, furiously bucking the grip of your expectations while you lean and slip in your saddle, one hand reaching for reins, the other waving up high like a schoolkid who finally knows the answer to the question."
adronitis,n,"frustration with how long it takes to get to know someone—spending the first few weeks chatting in their psychological entryway, with each subsequent conversation like entering a different anteroom, each a little closer to the center of the house—wishing instead that you could start there and work your way out, exchanging your deepest secrets first, before easing into casualness, until you've built up enough mystery over the years to ask them where they're from, and what they do for a living."
agnosthesia,n,"the state of not knowing how you really feel about something, which forces you to sift through clues hidden in your behavior, as if you were some other person—noticing a twist of acid in your voice, an obscene amount of effort put into something trifling, or an inexplicable weight on your shoulders that makes it difficult to get out of bed."
aimonomia,n,"fear that learning the name of something—a bird, a constellation, an attractive stranger—will somehow ruin it, transforming a lucky discovery into a conceptual husk pinned in a glass case, which leaves one less mystery to flutter around your head, trying to get in."
Altschmerz,n,"weariness with the same old issues that you’ve always had—the same boring flaws and anxieties you’ve been gnawing on for years, which leaves them soggy and tasteless and inert, with nothing interesting left to think about, nothing left to do but spit them out and wander off to the backyard, ready to dig up some fresher pain you might have buried long ago."
anchorage,n,"the desire to hold on to time as it passes, like trying to keep your grip on a rock in the middle of a river, feeling the weight of the current against your chest while your elders float on downstream, calling over the roar of the rapids, “Just let go—it's okay—let go.”"
anecdoche,n,"a conversation in which everyone is talking but nobody is listening, simply overlaying disconnected words like a game of Scrabble, with each player borrowing bits of other anecdotes as a way to increase their own score, until we all run out of things to say."
antematter,n,"the dream versions of things in your life, which appear totally foreign but are still somehow yours—your anteschool, your antefriends, your antehome—all part of a parallel world whose gravitational pull raises your life's emotional stakes, increasing the chances you'll end up betting everything you have."
anthrodynia,n,"a state of exhaustion with how shitty people can be to each other, typically causing a countervailing sense of affection for things that are sincere but not judgmental, are unabashedly joyful, or just are."
apomakrysmenophobia,n,"fear that your connections with people are ultimately shallow, that although your relationships feel congenial at the time, an audit of your life would produce an emotional safety deposit box of low-interest holdings and uninvested windfall profits, which will indicate you were never really at risk of joy, sacrifice or loss"
backmasking,n,"the instinctive tendency to see someone as you knew them in their youth, a burned-in image of grass-stained knees, graffitied backpacks or handfuls of birthday cake superimposed on an adult with a degree, an illusion formed when someone opens the door to your emotional darkroom while the memory is still developing."
bends,n,"frustration that you're not enjoying an experience as much as you should, even something you've worked for years to attain, which prompts you to plug in various thought combinations to try for anything more than static emotional blankness, as if your heart had been accidentally demagnetized by a surge of expectations."
catoptric tristesse,n,"the sadness that you'll never really know what other people think of you, whether good, bad or if at all—that although we reflect on each other with the sharpness of a mirror, the true picture of how we're coming off somehow reaches us softened and distorted, as if each mirror was preoccupied with twisting around, desperately trying to look itself in the eye."
chrysalism,n,"the amniotic tranquility of being indoors during a thunderstorm, listening to waves of rain pattering against the roof like an argument upstairs, whose muffled words are unintelligible but whose crackling release of built-up tension you understand perfectly."
contact high-five,n,"an innocuous touch by someone just doing their job—a barber, yoga instructor or friendly waitress—that you enjoy more than you’d like to admit, a feeling of connection so stupefyingly simple that it cheapens the power of the written word, so that by the year 2025, aspiring novelists would be better off just giving people a hug."
